A=3, h=1+1+1, 
A=77, h=6+4+5, 
A=77, h=6+5+4, 
A=77, h=8+2+3, 
A=77, h=8+3+2, 
A=78, h=2+5+7, 
A=78, h=2+7+5, 
A=78, h=5+2+7, 
A=78, h=5+7+2, 
A=78, h=7+2+5, 
A=78, h=7+5+2, 

A=81, h=1+4+8, 
A=81, h=1+8+4, 
A=81, h=3+6+6, 
A=81, h=4+1+8, 
A=81, h=4+4+7, 
A=81, h=4+7+4, 
A=81, h=4+8+1, 
A=81, h=6+3+6, 
A=81, h=6+6+3, 
A=81, h=7+4+4, 
A=81, h=8+1+4, 
A=81, h=8+4+1, 

A=82, h=3+3+8, 
A=82, h=3+8+3, 
A=82, h=8+3+3, 
A=83, h=1+1+9, 
A=83, h=1+9+1, 
A=83, h=3+5+7, 
A=83, h=3+7+5, 
A=83, h=5+3+7, 
A=83, h=5+7+3, 
A=83, h=7+3+5, 
A=83, h=7+5+3, 
A=83, h=9+1+1, 
A=84, h=2+4+8, 
A=84, h=2+8+4, 
A=84, h=4+2+8, 
A=84, h=4+8+2, 
A=84, h=8+2+4, 
A=84, h=8+4+2, 
A=86, h=1+2+9, 
A=86, h=1+6+7, 
A=86, h=1+7+6, 
A=86, h=1+9+2, 
A=86, h=2+1+9, 
A=86, h=2+9+1, 
A=86, h=5+5+6, 
A=86, h=5+6+5, 
A=86, h=6+1+7, 
A=86, h=6+5+5, 
A=86, h=6+7+1, 
A=86, h=7+1+6, 
A=86, h=7+6+1, 
A=86, h=9+1+2, 
A=86, h=9+2+1, 
A=88, h=4+6+6, 
A=88, h=6+4+6, 
A=88, h=6+6+4, 
A=89, h=2+2+9, 
A=89, h=2+6+7, 
A=89, h=2+7+6, 
A=89, h=2+9+2, 
A=89, h=3+4+8, 
A=89, h=3+8+4, 
A=89, h=4+3+8, 
A=89, h=4+8+3, 
A=89, h=6+2+7, 
A=89, h=6+7+2, 
A=89, h=7+2+6, 
A=89, h=7+6+2, 
A=89, h=8+3+4, 
A=89, h=8+4+3, 
A=89, h=9+2+2, 
A=90, h=1+5+8, 
A=90, h=1+8+5, 
A=90, h=4+5+7, 
A=90, h=4+7+5, 
A=90, h=5+1+8, 
A=90, h=5+4+7, 
A=90, h=5+7+4, 
A=90, h=5+8+1, 
A=90, h=7+4+5, 
A=90, h=7+5+4, 
A=90, h=8+1+5, 
A=90, h=8+5+1, 
A=91, h=1+3+9, 
A=91, h=1+9+3, 
A=91, h=3+1+9, 
A=91, h=3+9+1, 
A=91, h=9+1+3, 
A=91, h=9+3+1, 
A=93, h=2+5+8, 
A=93, h=2+8+5, 
A=93, h=5+2+8, 
A=93, h=5+8+2, 
A=93, h=8+2+5, 
A=93, h=8+5+2, 
A=94, h=2+3+9, 
A=94, h=2+9+3, 
A=94, h=3+2+9, 
A=94, h=3+6+7, 
A=94, h=3+7+6, 
A=94, h=3+9+2, 
A=94, h=6+3+7, 
A=94, h=6+7+3, 
A=94, h=7+3+6, 
A=94, h=7+6+3, 
A=94, h=9+2+3, 
A=94, h=9+3+2, 
A=96, h=4+4+8, 
A=96, h=4+8+4, 
A=96, h=8+4+4, 
A=97, h=5+6+6, 
A=97, h=6+5+6, 
A=97, h=6+6+5, 
A=98, h=1+4+9, 
A=98, h=1+9+4, 
A=98, h=3+5+8, 
A=98, h=3+8+5, 
A=98, h=4+1+9, 
A=98, h=4+9+1, 
A=98, h=5+3+8, 
A=98, h=5+8+3, 
A=98, h=8+3+5, 
A=98, h=8+5+3, 
A=98, h=9+1+4, 
A=98, h=9+4+1, 
A=99, h=1+7+7, 
A=99, h=3+3+9, 
A=99, h=3+9+3, 
A=99, h=5+5+7, 
A=99, h=5+7+5, 
A=99, h=7+1+7, 
A=99, h=7+5+5, 
A=99, h=7+7+1, 
A=99, h=9+3+3, 
A=101, h=1+6+8, 
A=101, h=1+8+6, 
A=101, h=2+4+9, 
A=101, h=2+9+4, 
A=101, h=4+2+9, 
A=101, h=4+6+7, 
A=101, h=4+7+6, 
A=101, h=4+9+2, 
A=101, h=6+1+8, 
A=101, h=6+4+7, 
A=101, h=6+7+4, 
A=101, h=6+8+1, 
A=101, h=7+4+6, 
A=101, h=7+6+4, 
A=101, h=8+1+6, 
A=101, h=8+6+1, 
A=101, h=9+2+4, 
A=101, h=9+4+2, 
A=102, h=1+1+10, 
A=102, h=1+10+1, 
A=102, h=2+7+7, 
A=102, h=7+2+7, 
A=102, h=7+7+2, 
A=102, h=10+1+1, 
A=104, h=2+6+8, 
A=104, h=2+8+6, 
A=104, h=6+2+8, 
A=104, h=6+8+2, 
A=104, h=8+2+6, 
A=104, h=8+6+2, 
A=105, h=1+2+10, 
A=105, h=1+10+2, 
A=105, h=2+1+10, 
A=105, h=2+10+1, 
A=105, h=4+5+8, 
A=105, h=4+8+5, 
A=105, h=5+4+8, 
A=105, h=5+8+4, 
A=105, h=8+4+5, 
A=105, h=8+5+4, 
A=105, h=10+1+2, 
A=105, h=10+2+1, 
A=106, h=3+4+9, 
A=106, h=3+9+4, 
A=106, h=4+3+9, 
A=106, h=4+9+3, 
A=106, h=9+3+4, 
A=106, h=9+4+3, 
A=107, h=1+5+9, 
A=107, h=1+9+5, 
A=107, h=3+7+7, 
A=107, h=5+1+9, 
A=107, h=5+9+1, 
A=107, h=7+3+7, 
A=107, h=7+7+3, 
A=107, h=9+1+5, 
A=107, h=9+5+1, 
A=108, h=2+2+10, 
A=108, h=2+10+2, 
A=108, h=6+6+6, 
A=108, h=10+2+2, 
A=109, h=3+6+8, 
A=109, h=3+8+6, 
A=109, h=6+3+8, 
A=109, h=6+8+3, 
A=109, h=8+3+6, 
A=109, h=8+6+3, 
A=110, h=1+3+10, 
A=110, h=1+10+3, 
A=110, h=2+5+9, 
A=110, h=2+9+5, 
A=110, h=3+1+10, 
A=110, h=3+10+1, 
A=110, h=5+2+9, 
A=110, h=5+6+7, 
A=110, h=5+7+6, 
A=110, h=5+9+2, 
A=110, h=6+5+7, 
A=110, h=6+7+5, 
A=110, h=7+5+6, 
A=110, h=7+6+5, 
A=110, h=9+2+5, 
A=110, h=9+5+2, 
A=110, h=10+1+3, 
A=110, h=10+3+1, 
A=113, h=2+3+10, 
A=113, h=2+10+3, 
A=113, h=3+2+10, 
A=113, h=3+10+2, 
A=113, h=4+4+9, 
A=113, h=4+9+4, 
A=113, h=9+4+4, 
A=113, h=10+2+3, 
A=113, h=10+3+2, 
A=114, h=1+7+8, 
A=114, h=1+8+7, 
A=114, h=4+7+7, 
A=114, h=5+5+8, 
A=114, h=5+8+5, 
A=114, h=7+1+8, 
A=114, h=7+4+7, 
A=114, h=7+7+4, 
A=114, h=7+8+1, 
A=114, h=8+1+7, 
A=114, h=8+5+5, 
A=114, h=8+7+1, 
A=115, h=3+5+9, 
A=115, h=3+9+5, 
A=115, h=5+3+9, 
A=115, h=5+9+3, 
A=115, h=9+3+5, 
A=115, h=9+5+3, 
A=116, h=4+6+8, 
A=116, h=4+8+6, 
A=116, h=6+4+8, 
A=116, h=6+8+4, 
A=116, h=8+4+6, 
A=116, h=8+6+4, 
A=117, h=1+4+10, 
A=117, h=1+10+4, 
A=117, h=2+7+8, 
A=117, h=2+8+7, 
A=117, h=4+1+10, 
A=117, h=4+10+1, 
A=117, h=7+2+8, 
A=117, h=7+8+2, 
A=117, h=8+2+7, 
A=117, h=8+7+2, 
A=117, h=10+1+4, 
A=117, h=10+4+1, 
A=118, h=1+6+9, 
A=118, h=1+9+6, 
A=118, h=3+3+10, 
A=118, h=3+10+3, 
A=118, h=6+1+9, 
A=118, h=6+9+1, 
A=118, h=9+1+6, 
A=118, h=9+6+1, 
A=118, h=10+3+3, 
A=120, h=2+4+10, 
A=120, h=2+10+4, 
A=120, h=4+2+10, 
A=120, h=4+10+2, 
A=120, h=10+2+4, 
A=120, h=10+4+2, 
A=121, h=2+6+9, 
A=121, h=2+9+6, 
A=121, h=6+2+9, 
A=121, h=6+6+7, 
A=121, h=6+7+6, 
A=121, h=6+9+2, 
A=121, h=7+6+6, 
A=121, h=9+2+6, 
A=121, h=9+6+2, 
A=122, h=3+7+8, 
A=122, h=3+8+7, 
A=122, h=4+5+9, 
A=122, h=4+9+5, 
A=122, h=5+4+9, 
A=122, h=5+9+4, 
A=122, h=7+3+8, 
A=122, h=7+8+3, 
A=122, h=8+3+7, 
A=122, h=8+7+3, 
A=122, h=9+4+5, 
A=122, h=9+5+4, 
A=123, h=1+1+11, 
A=123, h=1+11+1, 
A=123, h=5+7+7, 
A=123, h=7+5+7, 
A=123, h=7+7+5, 
A=123, h=11+1+1, 
A=125, h=3+4+10, 
A=125, h=3+10+4, 
A=125, h=4+3+10, 
A=125, h=4+10+3, 
A=125, h=5+6+8, 
A=125, h=5+8+6, 
A=125, h=6+5+8, 
A=125, h=6+8+5, 
A=125, h=8+5+6, 
A=125, h=8+6+5, 
A=125, h=10+3+4, 
A=125, h=10+4+3, 
A=126, h=1+2+11, 
A=126, h=1+5+10, 
A=126, h=1+10+5, 
A=126, h=1+11+2, 
A=126, h=2+1+11, 
A=126, h=2+11+1, 
A=126, h=3+6+9, 
A=126, h=3+9+6, 
A=126, h=5+1+10, 
A=126, h=5+10+1, 
A=126, h=6+3+9, 
A=126, h=6+9+3, 
A=126, h=9+3+6, 
A=126, h=9+6+3, 
A=126, h=10+1+5, 
A=126, h=10+5+1, 
A=126, h=11+1+2, 
A=126, h=11+2+1, 
A=129, h=1+8+8, 
A=129, h=2+2+11, 
A=129, h=2+5+10, 
A=129, h=2+10+5, 
A=129, h=2+11+2, 
A=129, h=4+7+8, 
A=129, h=4+8+7, 
A=129, h=5+2+10, 
A=129, h=5+10+2, 
A=129, h=7+4+8, 
A=129, h=7+8+4, 
A=129, h=8+1+8, 
A=129, h=8+4+7, 
A=129, h=8+7+4, 
A=129, h=8+8+1, 
A=129, h=10+2+5, 
A=129, h=10+5+2, 
A=129, h=11+2+2, 
A=131, h=1+3+11, 
A=131, h=1+7+9, 
A=131, h=1+9+7, 
A=131, h=1+11+3, 
A=131, h=3+1+11, 
A=131, h=3+11+1, 
A=131, h=5+5+9, 
A=131, h=5+9+5, 
A=131, h=7+1+9, 
A=131, h=7+9+1, 
A=131, h=9+1+7, 
A=131, h=9+5+5, 
A=131, h=9+7+1, 
A=131, h=11+1+3, 
A=131, h=11+3+1, 
A=132, h=2+8+8, 
A=132, h=4+4+10, 
A=132, h=4+10+4, 
A=132, h=8+2+8, 
A=132, h=8+8+2, 
A=132, h=10+4+4, 
A=133, h=4+6+9, 
A=133, h=4+9+6, 
A=133, h=6+4+9, 
A=133, h=6+9+4, 
A=133, h=9+4+6, 
A=133, h=9+6+4, 
A=134, h=2+3+11, 
A=134, h=2+7+9, 
A=134, h=2+9+7, 
A=134, h=2+11+3, 
A=134, h=3+2+11, 
A=134, h=3+5+10, 
A=134, h=3+10+5, 
A=134, h=3+11+2, 
A=134, h=5+3+10, 
A=134, h=5+10+3, 
A=134, h=6+7+7, 
A=134, h=7+2+9, 
A=134, h=7+6+7, 
A=134, h=7+7+6, 
A=134, h=7+9+2, 
A=134, h=9+2+7, 
A=134, h=9+7+2, 
A=134, h=10+3+5, 
A=134, h=10+5+3, 
A=134, h=11+2+3, 
A=134, h=11+3+2, 
A=136, h=6+6+8, 
A=136, h=6+8+6, 
A=136, h=8+6+6, 
A=137, h=1+6+10, 
A=137, h=1+10+6, 
A=137, h=3+8+8, 
A=137, h=6+1+10, 
A=137, h=6+10+1, 
A=137, h=8+3+8, 
A=137, h=8+8+3, 
A=137, h=10+1+6, 
A=137, h=10+6+1, 
A=138, h=1+4+11, 
A=138, h=1+11+4, 
A=138, h=4+1+11, 
A=138, h=4+11+1, 
A=138, h=5+7+8, 
A=138, h=5+8+7, 
A=138, h=7+5+8, 
A=138, h=7+8+5, 
A=138, h=8+5+7, 
A=138, h=8+7+5, 
A=138, h=11+1+4, 
A=138, h=11+4+1, 
A=139, h=3+3+11, 
A=139, h=3+7+9, 
A=139, h=3+9+7, 
A=139, h=3+11+3, 
A=139, h=7+3+9, 
A=139, h=7+9+3, 
A=139, h=9+3+7, 
A=139, h=9+7+3, 
A=139, h=11+3+3, 
A=140, h=2+6+10, 
A=140, h=2+10+6, 
A=140, h=6+2+10, 
A=140, h=6+10+2, 
A=140, h=10+2+6, 
A=140, h=10+6+2, 
A=141, h=2+4+11, 
A=141, h=2+11+4, 
A=141, h=4+2+11, 
A=141, h=4+5+10, 
A=141, h=4+10+5, 
A=141, h=4+11+2, 
A=141, h=5+4+10, 
A=141, h=5+10+4, 
A=141, h=10+4+5, 
A=141, h=10+5+4, 
A=141, h=11+2+4, 
A=141, h=11+4+2, 
A=142, h=5+6+9, 
A=142, h=5+9+6, 
A=142, h=6+5+9, 
A=142, h=6+9+5, 
A=142, h=9+5+6, 
A=142, h=9+6+5, 
A=144, h=4+8+8, 
A=144, h=8+4+8, 
A=144, h=8+8+4, 
A=145, h=3+6+10, 
A=145, h=3+10+6, 
A=145, h=6+3+10, 
A=145, h=6+10+3, 
A=145, h=10+3+6, 
A=145, h=10+6+3, 
A=146, h=1+1+12, 
A=146, h=1+8+9, 
A=146, h=1+9+8, 
A=146, h=1+12+1, 
A=146, h=3+4+11, 
A=146, h=3+11+4, 
A=146, h=4+3+11, 
A=146, h=4+7+9, 
A=146, h=4+9+7, 
A=146, h=4+11+3, 
A=146, h=7+4+9, 
A=146, h=7+9+4, 
A=146, h=8+1+9, 
A=146, h=8+9+1, 
A=146, h=9+1+8, 
A=146, h=9+4+7, 
A=146, h=9+7+4, 
A=146, h=9+8+1, 
A=146, h=11+3+4, 
A=146, h=11+4+3, 
A=146, h=12+1+1, 
A=147, h=1+5+11, 
A=147, h=1+11+5, 
A=147, h=5+1+11, 
A=147, h=5+11+1, 
A=147, h=7+7+7, 
A=147, h=11+1+5, 
A=147, h=11+5+1, 
A=149, h=1+2+12, 
A=149, h=1+12+2, 
A=149, h=2+1+12, 
A=149, h=2+8+9, 
A=149, h=2+9+8, 
A=149, h=2+12+1, 
A=149, h=6+7+8, 
A=149, h=6+8+7, 
A=149, h=7+6+8, 
A=149, h=7+8+6, 
A=149, h=8+2+9, 
A=149, h=8+6+7, 
A=149, h=8+7+6, 
A=149, h=8+9+2, 
A=149, h=9+2+8, 
A=149, h=9+8+2, 
A=149, h=12+1+2, 
A=149, h=12+2+1, 
A=150, h=1+7+10, 
A=150, h=1+10+7, 
A=150, h=2+5+11, 
A=150, h=2+11+5, 
A=150, h=5+2+11, 
A=150, h=5+5+10, 
A=150, h=5+10+5, 
A=150, h=5+11+2, 
A=150, h=7+1+10, 
A=150, h=7+10+1, 
A=150, h=10+1+7, 
A=150, h=10+5+5, 
A=150, h=10+7+1, 
A=150, h=11+2+5, 
A=150, h=11+5+2, 
A=152, h=2+2+12, 
A=152, h=2+12+2, 
A=152, h=4+6+10, 
A=152, h=4+10+6, 
A=152, h=6+4+10, 
A=152, h=6+10+4, 
A=152, h=10+4+6, 
A=152, h=10+6+4, 
A=152, h=12+2+2, 
A=153, h=2+7+10, 
A=153, h=2+10+7, 
A=153, h=4+4+11, 
A=153, h=4+11+4, 
A=153, h=5+8+8, 
A=153, h=6+6+9, 
A=153, h=6+9+6, 
A=153, h=7+2+10, 
A=153, h=7+10+2, 
A=153, h=8+5+8, 
A=153, h=8+8+5, 
A=153, h=9+6+6, 
A=153, h=10+2+7, 
A=153, h=10+7+2, 
A=153, h=11+4+4, 
A=154, h=1+3+12, 
A=154, h=1+12+3, 
A=154, h=3+1+12, 
A=154, h=3+8+9, 
A=154, h=3+9+8, 
A=154, h=3+12+1, 
A=154, h=8+3+9, 
A=154, h=8+9+3, 
A=154, h=9+3+8, 
A=154, h=9+8+3, 
A=154, h=12+1+3, 
A=154, h=12+3+1, 
A=155, h=3+5+11, 
A=155, h=3+11+5, 
A=155, h=5+3+11, 
A=155, h=5+7+9, 
A=155, h=5+9+7, 
A=155, h=5+11+3, 
A=155, h=7+5+9, 
A=155, h=7+9+5, 
A=155, h=9+5+7, 
A=155, h=9+7+5, 
A=155, h=11+3+5, 
A=155, h=11+5+3, 
A=157, h=2+3+12, 
A=157, h=2+12+3, 
A=157, h=3+2+12, 
A=157, h=3+12+2, 
A=157, h=12+2+3, 
A=157, h=12+3+2, 
A=158, h=1+6+11, 
A=158, h=1+11+6, 
A=158, h=3+7+10, 
A=158, h=3+10+7, 
A=158, h=6+1+11, 
A=158, h=6+11+1, 
A=158, h=7+3+10, 
A=158, h=7+10+3, 
A=158, h=10+3+7, 
A=158, h=10+7+3, 
A=158, h=11+1+6, 
A=158, h=11+6+1, 
A=161, h=1+4+12, 
A=161, h=1+12+4, 
A=161, h=2+6+11, 
A=161, h=2+11+6, 
A=161, h=4+1+12, 
A=161, h=4+8+9, 
A=161, h=4+9+8, 
A=161, h=4+12+1, 
A=161, h=5+6+10, 
A=161, h=5+10+6, 
A=161, h=6+2+11, 
A=161, h=6+5+10, 
A=161, h=6+10+5, 
A=161, h=6+11+2, 
A=161, h=8+4+9, 
A=161, h=8+9+4, 
A=161, h=9+4+8, 
A=161, h=9+8+4, 
A=161, h=10+5+6, 
A=161, h=10+6+5, 
A=161, h=11+2+6, 
A=161, h=11+6+2, 
A=161, h=12+1+4, 
A=161, h=12+4+1, 
A=162, h=3+3+12, 
A=162, h=3+12+3, 
A=162, h=4+5+11, 
A=162, h=4+11+5, 
A=162, h=5+4+11, 
A=162, h=5+11+4, 
A=162, h=7+7+8, 
A=162, h=7+8+7, 
A=162, h=8+7+7, 
A=162, h=11+4+5, 
A=162, h=11+5+4, 
A=162, h=12+3+3, 
A=163, h=1+9+9, 
A=163, h=9+1+9, 
A=163, h=9+9+1, 
A=164, h=2+4+12, 
A=164, h=2+12+4, 
A=164, h=4+2+12, 
A=164, h=4+12+2, 
A=164, h=6+8+8, 
A=164, h=8+6+8, 
A=164, h=8+8+6, 
A=164, h=12+2+4, 
A=164, h=12+4+2, 
A=165, h=1+8+10, 
A=165, h=1+10+8, 
A=165, h=4+7+10, 
A=165, h=4+10+7, 
A=165, h=7+4+10, 
A=165, h=7+10+4, 
A=165, h=8+1+10, 
A=165, h=8+10+1, 
A=165, h=10+1+8, 
A=165, h=10+4+7, 
A=165, h=10+7+4, 
A=165, h=10+8+1, 
A=166, h=2+9+9, 
A=166, h=3+6+11, 
A=166, h=3+11+6, 
A=166, h=6+3+11, 
A=166, h=6+7+9, 
A=166, h=6+9+7, 
A=166, h=6+11+3, 
A=166, h=7+6+9, 
A=166, h=7+9+6, 
A=166, h=9+2+9, 
A=166, h=9+6+7, 
A=166, h=9+7+6, 
A=166, h=9+9+2, 
A=166, h=11+3+6, 
A=166, h=11+6+3, 
A=168, h=2+8+10, 
A=168, h=2+10+8, 
A=168, h=8+2+10, 
A=168, h=8+10+2, 
A=168, h=10+2+8, 
A=168, h=10+8+2, 
A=169, h=3+4+12, 
A=169, h=3+12+4, 
A=169, h=4+3+12, 
A=169, h=4+12+3, 
A=169, h=12+3+4, 
A=169, h=12+4+3, 
A=170, h=1+5+12, 
A=170, h=1+12+5, 
A=170, h=5+1+12, 
A=170, h=5+8+9, 
A=170, h=5+9+8, 
A=170, h=5+12+1, 
A=170, h=8+5+9, 
A=170, h=8+9+5, 
A=170, h=9+5+8, 
A=170, h=9+8+5, 
A=170, h=12+1+5, 
A=170, h=12+5+1, 
A=171, h=1+1+13, 
A=171, h=1+7+11, 
A=171, h=1+11+7, 
A=171, h=1+13+1, 
A=171, h=3+9+9, 
A=171, h=5+5+11, 
A=171, h=5+11+5, 
A=171, h=7+1+11, 
A=171, h=7+11+1, 
A=171, h=9+3+9, 
A=171, h=9+9+3, 
A=171, h=11+1+7, 
A=171, h=11+5+5, 
A=171, h=11+7+1, 
A=171, h=13+1+1, 
A=172, h=6+6+10, 
A=172, h=6+10+6, 
A=172, h=10+6+6, 
A=173, h=2+5+12, 
A=173, h=2+12+5, 
A=173, h=3+8+10, 
A=173, h=3+10+8, 
A=173, h=4+6+11, 
A=173, h=4+11+6, 
A=173, h=5+2+12, 
A=173, h=5+12+2, 
A=173, h=6+4+11, 
A=173, h=6+11+4, 
